道路區塊,鄉鎮,路名1,路名2,起點路口,迄點路口,道路區塊總面積,路長,路寬,道路轄管,道路類型,投影面積,交通量,投影比例,申請路政,挖掘面積,平均溫度,強降雨,搶修案件,液化潛勢,管線衝突點,淺埋位置回報,埋深,埋深=0,埋深>0,埋深>0.3m且埋深<1.2m,PCI分數
BL000041,八里區,中山路二段, ,商港路,中山路二段,2178.46,175.4,12.4,市,路段,24.12190254,中,1.11%,1,2.1,11,8,,NULL,15,,低,8,NULL,5,33.94861
BL000045,八里區, , , ,渡船頭路,12699.86,2332.6,5.4,區,路段,1.060871919,低,0.01%,1,429.45,11,8,,NULL,13,,低,2,NULL,NULL,72.22985
BL000048,八里區, , , , ,20431.81,3363.5,6.1,區,路段,433.8721808,低,2.12%,1,1.8,11,5,,NULL,34,,低,30,NULL,1,71.69824
BL000050,八里區,中華路三段, ,中華路三段,後湖路,1067.78,139.1,7.7,市,路段,,低,0.00%,0,NULL,11,5,,NULL,3,,低,NULL,NULL,1,90.31781
BL000053,八里區,觀音路, ,觀音路,觀音路,7431.95,1545.9,4.8,區,路段,7.207843297,低,0.10%,0,NULL,11,11,,NULL,NULL,,低,2,NULL,NULL,100
BL000054,八里區,渡船頭路, ,渡船頭路, ,11339.11,2043.1,5.5,區,路段,,低,0.00%,3,1260,11,11,,NULL,3,,低,NULL,1,1,79.08602
BL000220,八里區, , ,北54,北54,5857.59,1402.1,4.2,區,路段,,低,0.00%,0,NULL,11,11,,NULL,NULL,,低,NULL,NULL,1,19.90185
BL000231,八里區,中山路二段, ,中山路二段,文昌路,22198.86,1819.2,12.2,市,路段,11.25630744,中,0.05%,21,1660.2,11,8,,NULL,317,,高,9,5,33,24.75979
BL000237,八里區,龍形五街, , ,龍米路一段,1436.55,166.7,8.6,區,路段,,中,0.00%,1,17.2,11,11,,NULL,12,,低,NULL,NULL,3,11.04267
BL000238,八里區, , , ,龍形五街,1122.99,135.3,8.3,區,路段,,中,0.00%,0,NULL,11,11,,NULL,NULL,,低,NULL,NULL,1,0
BL000239,八里區,觀音路, ,觀音路,龍米路二段,5449.25,864.5,6.3,區,路段,7.128295188,低,0.13%,0,NULL,11,11,,NULL,NULL,,低,3,NULL,NULL,96.26047
BL000240,八里區,渡船頭路, ,龍米路二段,渡船頭路,5879.78,940.9,6.2,區,路段,18.06663068,低,0.31%,2,426,11,11,,NULL,10,,低,5,NULL,1,66.99284
BL000243,八里區, , ,中華路三段,北51,4719.54,626.1,7.5,區,路段,88.39149108,低,1.87%,1,0.96,11,5,,NULL,3,,低,8,NULL,1,65.01825
BL000244,八里區, , ,下罟子產業道路,中華路三段,9536.73,1205.5,7.9,區,路段,,低,0.00%,3,10.8,11,5,,NULL,7,,低,NULL,NULL,3,90.52114
BL000245,八里區,下罟子產業道路, ,下罟子產業道路,北51,496.74,50.5,9.8,區,路段,,中,0.00%,0,NULL,11,5,,NULL,NULL,,低,NULL,NULL,1,100
BL000246,八里區, , ,台15,下罟子產業道路,4444.05,659,6.7,區,路段,,低,0.00%,2,46.25,11,5,,NULL,NULL,,低,NULL,NULL,2,30.17312
BL000425,八里區, , ,荖阡坑路,北50,5079.98,781.5,6.4,區,路段,78.63988498,低,1.55%,0,NULL,11,8,,NULL,NULL,,低,15,NULL,NULL,67.71564
BL000429,八里區, , ,北51,粉寮路二段,1625.15,255.9,6.4,區,路段,,低,0.00%,5,973.82,11,9,,NULL,NULL,,低,NULL,NULL,2,84.0756
BL000432,八里區,荖阡坑路, ,中華路二段,荖阡坑路,11937.96,1423.4,8.4,區,路段,11.18709226,中,0.09%,2,9.8,11,8,,NULL,9,,低,8,NULL,3,31.06654
BL000433,八里區,中華路三段, ,中華路二段,中華路三段,32655.87,1932.9,15.3,市,路段,3.108678081,中,0.01%,2,13.2,11,8,,NULL,35,,低,11,NULL,4,51.32728
BL000447,八里區,中山路一段, ,中山路二段,龍米路三段,18154.86,1482.9,12.2,市,路段,111.4772256,中,0.61%,17,6622.21,11,8,,NULL,627,,高,55,NULL,19,16.55947
BL000471,八里區,後湖路, ,小坑仔產業道路,後湖路,14440.7,1947.1,7.4,市,路段,,低,0.00%,0,NULL,11,5,,NULL,2,,低,NULL,NULL,1,44.18559
BL000472,八里區,民義路二段, ,民義路二段,民義路二段,49.97,29.5,1.7,區,路段,,低,0.00%,0,NULL,11,5,,NULL,NULL,,低,NULL,NULL,NULL,100
BL000473,八里區,民義路二段, ,民義路二段,民義路二段,5.12,17.5,0.3,區,路段,,低,0.00%,0,NULL,11,5,,NULL,NULL,,低,NULL,NULL,NULL,100
BL000474,八里區,民義路二段, ,民義路二段,民義路二段,1.28,2.7,0.5,區,路段,,低,0.00%,0,NULL,11,5,,NULL,NULL,,低,NULL,NULL,NULL,100
BL000475,八里區,民義路二段, ,民義路二段,民義路二段,2.8,18.2,0.2,區,路段,,低,0.00%,0,NULL,11,5,,NULL,NULL,,低,NULL,NULL,NULL,100
BL000476,八里區,華富山路, ,渡船頭路,華富山路,20441.47,2780.1,7.4,區,路段,6.313850067,低,0.03%,2,7.2,11,8,,NULL,19,,低,4,NULL,1,45.1753
BL000477,八里區,荖阡坑路, ,荖阡坑路,民義路二段,16443.62,2492.7,6.6,區,路段,,低,0.00%,0,NULL,11,5,,NULL,6,,低,NULL,NULL,NULL,51.8748
BL000486,八里區,龍米路一段, ,龍米路一段,成泰路四段,28574.08,1316.6,21,市,路段,77.18279928,高,0.27%,3,43.92,11,102,,NULL,49,,高,14,3,18,21.29996
BL000493,八里區,成泰路四段, ,龍米路一段,成泰路四段,3117.93,148.3,21,市,路段,,高,0.00%,0,NULL,11,102,,NULL,NULL,,低,NULL,NULL,1,6.32644
BL001220,八里區,中華路三段, ,中華路三段,中華路三段,1515.21,147.6,15.3,市區,路段,63.67352603,中,4.20%,3,14.64,11,5,,NULL,3,,低,5,NULL,NULL,4.71476
BL001221,八里區,中華路三段, ,中華路三段,中華路三段,5870.22,540.3,15.3,市,路段,0.08708823,中,0.00%,1,7.05,11,5,,NULL,2,,低,1,NULL,3,43.75011
CH000002,新莊區,中港路, ,中德路,富貴路,1053.84,102.7,10.3,區,路段,,中,0.00%,3,10.15,11,6,,3,23,,低,NULL,NULL,1,96.31106
CH000004,新莊區,中港路, ,富貴路,榮華路二段,1316.69,129.7,10.2,區,路段,,中,0.00%,0,NULL,11,6,,3,39,,低,NULL,NULL,1,100
CH000159,新莊區,幸福路, ,幸福路,中平路,3935.79,333.8,11.8,區,路段,,中,0.00%,1,11.4,11,6,,3,19,,低,NULL,NULL,1,87.28505
CH000161,新莊區,幸福路, ,中平路,中和街,2680.79,235.3,11.4,區,路段,,中,0.00%,5,38.63,11,6,7,3,57,,中,NULL,NULL,6,44.91525
CH000163,新莊區,幸福路, ,中和街,中港路,5739.45,488.6,11.7,區,路段,,中,0.00%,9,58.77,11,6,13,3,156,,中,NULL,1,7,60.91366
CH000164,新莊區,幸福路, ,中華路二段,福壽街,6093.64,543.4,11.2,區,路段,91.92176312,中,1.51%,1,5.76,11,6,3,3,130,,高,20,1,14,82.78917
CH000167,新莊區,幸福路, ,中港路,中華路二段,166.77,13.2,12.6,區,路段,,中,0.00%,0,NULL,11,6,,3,1,,低,NULL,NULL,1,100